V4	ComiR	DianaMicroTCDS	EIMMO	EMBL	MicroCosm	miRSVR	PicTar	PITA	PITAtop	RNA22	RNAhybrid	MinoTar	TargetScan	TargetSpy
FBgn0000036|dme-miR-14	0.2236	NA	NA	NA	NA	NA	NA	NA	NA	1.209772	NA	NA	NA	0.29979314818772
FBgn0000036|dme-miR-277	0.2335	NA	NA	NA	NA	NA	NA	NA	NA	0.890909	NA	NA	NA	0.134846592244385
FBgn0000036|dme-miR-34	0.2393	NA	NA	NA	NA	NA	NA	NA	NA	17.086297	NA	0.88	NA	0.606897791733342
FBgn0000037|dme-miR-14	0.2401	NA	NA	NA	NA	NA	NA	NA	NA	2.786842	NA	NA	NA	0.953331747451953
FBgn0000037|dme-miR-277	0.24	NA	NA	NA	NA	-0.0056	NA	-2.01	NA	NA	NA	NA	NA	0.996395428346093
FBgn0000037|dme-miR-34	0.226	NA	NA	NA	NA	NA	NA	NA	NA	6.46803	NA	NA	NA	0.689338207435174
FBgn0000038|dme-miR-14	0.2369	NA	NA	NA	NA	NA	NA	NA	NA	1.080882	NA	NA	NA	0.509073823046603
FBgn0000038|dme-miR-277	0.2244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.907584433596241
FBgn0000038|dme-miR-34	0.2246	NA	NA	NA	NA	NA	NA	-14.58	NA	6.949014	NA	NA	NA	0.463698227322135
FBgn0000039|dme-miR-14	0.2305	NA	NA	NA	NA	NA	NA	NA	NA	5.544302	NA	NA	NA	NA
FBgn0000039|dme-miR-277	0.2186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000039|dme-miR-34	0.2188	NA	NA	NA	NA	NA	NA	NA	NA	6.07446	NA	NA	NA	0.482246570959664
FBgn0000042|dme-miR-14	0.2368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.74633713680879e-05
FBgn0000042|dme-miR-277	0.236	NA	NA	NA	NA	NA	NA	3.57	NA	NA	NA	NA	NA	0.608094595407516
FBgn0000042|dme-miR-34	0.2412	0.451	NA	NA	NA	NA	NA	NA	NA	11.32853	NA	NA	NA	0.995747584387251
FBgn0000043|dme-miR-14	0.2327	NA	NA	NA	NA	-0.695	NA	NA	NA	NA	NA	NA	NA	0.366406209659705
FBgn0000043|dme-miR-277	0.917	0.869	0.556	6.9	NA	-0.3682	NA	0.31	NA	NA	NA	NA	NA	0.456240850557999
FBgn0000043|dme-miR-34	0.2358	NA	NA	NA	NA	NA	NA	NA	NA	4.028112	NA	NA	NA	0.637637513879754
FBgn0000044|dme-miR-14	0.2379	0.493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.991442190616642
FBgn0000044|dme-miR-277	0.2375	NA	NA	NA	NA	NA	NA	1.51	NA	NA	NA	NA	NA	0.103874414116088
FBgn0000044|dme-miR-34	0.2419	NA	NA	NA	NA	NA	NA	NA	NA	22.750973	NA	NA	NA	0.991140759695172
FBgn0000045|dme-miR-14	0.2378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.146738914382365
FBgn0000045|dme-miR-277	0.2224	0.457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000045|dme-miR-34	0.2231	NA	NA	NA	NA	NA	NA	NA	NA	2.602837	NA	NA	NA	0.0161938975498882
FBgn0000046|dme-miR-14	0.2342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.070123064373843
FBgn0000046|dme-miR-277	0.2227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00100373439454055
FBgn0000046|dme-miR-34	0.238	NA	NA	NA	NA	NA	NA	NA	NA	2.988668	NA	NA	NA	0.977145194916413
FBgn0000047|dme-miR-14	0.2337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.103044692199315
FBgn0000047|dme-miR-277	0.2229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00467139511268513
FBgn0000047|dme-miR-34	0.2226	NA	NA	NA	NA	NA	7	NA	NA	3.12949	NA	NA	NA	0.0544170512807391
FBgn0000052|dme-miR-14	0.218	NA	NA	NA	NA	NA	NA	NA	NA	20.132631	NA	NA	NA	NA
FBgn0000052|dme-miR-277	0.8778	0.545	0.556	NA	NA	-0.0573	NA	0.53	NA	3.855	NA	NA	NA	0.999780023610158
FBgn0000052|dme-miR-34	0.2189	NA	NA	NA	NA	NA	NA	NA	NA	22.777911	NA	NA	NA	NA
FBgn0000053|dme-miR-14	0.2208	NA	NA	NA	NA	-0.3602	NA	NA	NA	9.55623	NA	NA	NA	NA
FBgn0000053|dme-miR-277	0.2341	NA	NA	NA	NA	NA	NA	-5.36	NA	NA	NA	NA	NA	0.986056189163193
FBgn0000053|dme-miR-34	0.2206	NA	NA	NA	NA	NA	NA	NA	NA	14.918582	NA	NA	NA	0.825671783520744
FBgn0000054|dme-miR-14	0.2376	NA	NA	NA	NA	NA	NA	NA	NA	14.477562	NA	NA	NA	0.0114000420536661
FBgn0000054|dme-miR-277	0.2368	NA	NA	NA	NA	NA	NA	NA	NA	16.137627	NA	NA	NA	0.999208749209458
FBgn0000054|dme-miR-34	0.2385	NA	NA	NA	NA	NA	NA	NA	NA	17.934948	NA	NA	NA	0.817389831641918
FBgn0000055|dme-miR-14	0.2427	NA	NA	NA	0.0168091	NA	NA	-2.36	NA	2.421236	NA	NA	NA	0.916443248570648
FBgn0000055|dme-miR-277	0.2358	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	0.0165116990435736
FBgn0000055|dme-miR-34	0.2414	NA	NA	NA	NA	NA	NA	NA	NA	7.421634	NA	NA	NA	0.999125527907124
FBgn0000056|dme-miR-14	0.2159	NA	NA	NA	NA	NA	NA	NA	NA	2.421236	NA	NA	NA	NA
FBgn0000056|dme-miR-277	0.2169	NA	NA	NA	NA	NA	NA	NA	NA	6.830688	NA	NA	NA	NA
FBgn0000056|dme-miR-34	0.216	NA	NA	NA	NA	NA	NA	NA	NA	4.456104	NA	NA	NA	NA
FBgn0000057|dme-miR-14	0.2367	NA	NA	NA	NA	-0.1399	NA	NA	NA	NA	NA	NA	NA	0.999527504767414
FBgn0000057|dme-miR-277	0.2367	NA	NA	NA	NA	NA	NA	NA	NA	1.452678	NA	NA	NA	0.99191286483437
FBgn0000057|dme-miR-34	0.2212	NA	NA	NA	NA	NA	NA	NA	NA	2.266137	NA	NA	NA	0.000467486776099224
FBgn0000061|dme-miR-14	0.2357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000061|dme-miR-277	0.2316	NA	NA	NA	NA	NA	NA	-0.98	NA	NA	NA	NA	NA	NA
FBgn0000061|dme-miR-34	0.2198	NA	NA	NA	NA	NA	NA	NA	NA	4.470844	3.040609566	NA	NA	0.999553561456431
FBgn0000063|dme-miR-14	0.217	NA	NA	NA	NA	NA	NA	NA	NA	3.037758	NA	NA	NA	NA
FBgn0000063|dme-miR-277	0.2308	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
FBgn0000063|dme-miR-34	0.2186	NA	NA	NA	NA	NA	NA	NA	NA	1.491928	NA	NA	NA	NA
FBgn0000064|dme-miR-14	0.235	NA	NA	NA	0.0495915	NA	NA	NA	NA	0.982339	NA	NA	NA	0.776448753542566
FBgn0000064|dme-miR-277	0.2342	NA	NA	NA	NA	NA	NA	NA	NA	16.590908	NA	NA	NA	0.964939631293666
FBgn0000064|dme-miR-34	0.238	NA	NA	NA	NA	NA	NA	NA	NA	27.472589	NA	NA	NA	0.454476320914508
FBgn0000071|dme-miR-14	0.9141	0.519	0.209	NA	0.00648628	-0.2343	NA	-0.36	-0.36	3.341667	NA	NA	NA	0.981506035109042
FBgn0000071|dme-miR-277	0.2229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.121844646477367
FBgn0000071|dme-miR-34	0.2226	NA	NA	NA	NA	NA	NA	NA	NA	9.971445	NA	NA	NA	0.00210682134229184
FBgn0000075|dme-miR-14	0.217	NA	NA	NA	NA	NA	NA	NA	NA	6.125354	NA	NA	NA	NA
FBgn0000075|dme-miR-277	0.2176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000075|dme-miR-34	0.2176	NA	NA	NA	NA	NA	NA	NA	NA	4.252757	NA	NA	NA	NA
FBgn0000077|dme-miR-14	0.2213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000077|dme-miR-277	0.2338	NA	NA	NA	NA	NA	NA	1.06	NA	NA	NA	NA	NA	NA
FBgn0000077|dme-miR-34	0.2353	NA	NA	NA	NA	NA	NA	NA	NA	2.122154	NA	NA	NA	NA
FBgn0000078|dme-miR-14	0.2178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000078|dme-miR-277	0.2186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000078|dme-miR-34	0.2171	NA	NA	NA	NA	NA	NA	NA	NA	0.889891	NA	NA	NA	0.0014268705806522
FBgn0000079|dme-miR-14	0.2172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000079|dme-miR-277	0.2171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000079|dme-miR-34	0.2161	NA	NA	NA	NA	NA	NA	NA	NA	0.889891	NA	NA	NA	0.00225236898561277
FBgn0000083|dme-miR-14	0.2231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000083|dme-miR-277	0.8809	0.999	0.901	NA	0.0440726	-1.4556	3	-2	-2	NA	NA	NA	0.31001	0.983919370109041
FBgn0000083|dme-miR-34	0.2228	NA	NA	NA	0.0434125	NA	NA	NA	NA	3.075105	NA	NA	NA	0.446263540571064
FBgn0000084|dme-miR-14	0.2194	NA	NA	NA	NA	NA	NA	NA	NA	5.265	NA	NA	NA	NA
FBgn0000084|dme-miR-277	0.2291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.363128923561839
FBgn0000084|dme-miR-34	0.2186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000427600390995996
FBgn0000092|dme-miR-14	0.2204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000092|dme-miR-277	0.2192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000092|dme-miR-34	0.2192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0370065353562146
FBgn0000094|dme-miR-14	0.2178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000094|dme-miR-277	0.2163	NA	NA	NA	NA	NA	NA	NA	NA	1.077292	NA	NA	NA	NA
FBgn0000094|dme-miR-34	0.2171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000095|dme-miR-14	0.2432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000095|dme-miR-277	0.2432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000095|dme-miR-34	0.2261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000097|dme-miR-14	0.2431	NA	NA	NA	NA	NA	NA	4.91	NA	1.668182	NA	NA	NA	0.178557491422123
FBgn0000097|dme-miR-277	0.2429	0.487	NA	NA	NA	NA	NA	3.52	NA	9.701686	NA	NA	NA	0.998187729470203
FBgn0000097|dme-miR-34	0.2433	NA	NA	NA	NA	NA	NA	NA	NA	16.843465	NA	NA	NA	0.994239377281053
FBgn0000099|dme-miR-14	0.2421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00674590793966758
FBgn0000099|dme-miR-277	0.2417	NA	NA	NA	NA	NA	NA	NA	NA	4.316	NA	NA	NA	0.99311233149477
FBgn0000099|dme-miR-34	0.2417	NA	NA	NA	NA	NA	NA	NA	NA	21.949024	NA	NA	NA	0.915688638719419
FBgn0000100|dme-miR-14	0.2216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000100|dme-miR-277	0.2201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.226246833888588
FBgn0000100|dme-miR-34	0.2322	NA	NA	NA	NA	NA	NA	NA	NA	8.276141	NA	NA	NA	0.0154729162243157
FBgn0000108|dme-miR-14	0.2428	NA	NA	NA	NA	NA	NA	5.35	NA	NA	NA	NA	NA	0.990975821067445
FBgn0000108|dme-miR-277	0.8851	0.475	0.556	NA	NA	-0.1177	NA	-2.22	NA	3.3232	NA	NA	NA	0.999827220162893
FBgn0000108|dme-miR-34	0.2434	NA	NA	NA	NA	NA	NA	-6.88	NA	59.79344	NA	NA	NA	0.999583718163369
FBgn0000109|dme-miR-14	0.2403	NA	NA	NA	0.0406017	NA	NA	-2.5	NA	2.95928	NA	NA	NA	0.438761292493209
FBgn0000109|dme-miR-277	0.8828	0.99	0.901	10.65	0.00977274	-0.838	NA	1.27	NA	1.245981	NA	NA	0.31001	0.00264048606945798
FBgn0000109|dme-miR-34	0.2241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.314864008523622
FBgn0000114|dme-miR-14	0.2398	NA	NA	NA	NA	-1.1786	NA	-0.7	NA	8.130116	NA	NA	NA	0.981477041727475
FBgn0000114|dme-miR-277	0.2234	NA	NA	NA	NA	NA	NA	NA	NA	2.912211	NA	NA	NA	0.185082498762022
FBgn0000114|dme-miR-34	0.2393	NA	NA	NA	NA	NA	NA	-9.12	NA	45.483122	NA	NA	NA	0.807996192087681
FBgn0000115|dme-miR-14	0.2202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000115|dme-miR-277	0.2206	NA	NA	NA	NA	NA	NA	NA	NA	0.825909	NA	NA	NA	NA
FBgn0000115|dme-miR-34	0.2191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000458948771681625
FBgn0000116|dme-miR-14	0.2229	NA	NA	NA	NA	NA	NA	NA	NA	5.153694	NA	NA	NA	NA
FBgn0000116|dme-miR-277	0.2329	NA	NA	NA	NA	-0.0046	NA	8.07	NA	2.682531	NA	NA	NA	0.880312542170463
FBgn0000116|dme-miR-34	0.2229	NA	NA	NA	NA	NA	NA	NA	NA	22.191668	NA	NA	NA	0.718343478971671
FBgn0000117|dme-miR-14	0.2244	NA	NA	NA	NA	NA	NA	NA	NA	9.646645	NA	NA	NA	0.000290056615665089
FBgn0000117|dme-miR-277	0.241	NA	NA	NA	NA	-0.6064	NA	NA	NA	NA	NA	NA	NA	0.249440808545559
FBgn0000117|dme-miR-34	0.2375	NA	NA	NA	NA	NA	NA	NA	NA	23.119623	NA	NA	NA	0.0662977712771832
FBgn0000119|dme-miR-14	0.2416	0.564	NA	NA	NA	-0.0241	NA	5.58	NA	7.403102	NA	NA	NA	0.240564218971471
FBgn0000119|dme-miR-277	0.8836	0.889	0.572	7.26	NA	-1.2379	NA	0.66	NA	2.477597	NA	NA	NA	0.998731276674399
FBgn0000119|dme-miR-34	0.2389	NA	NA	NA	NA	NA	NA	NA	NA	11.446443	NA	NA	NA	0.976871565992587
FBgn0000120|dme-miR-14	0.2333	NA	NA	NA	NA	NA	NA	NA	NA	5.248411	NA	NA	NA	NA
FBgn0000120|dme-miR-277	0.2364	0.607	NA	NA	NA	NA	NA	2.85	NA	0.792752	NA	NA	NA	NA
FBgn0000120|dme-miR-34	0.2201	NA	NA	NA	NA	NA	NA	NA	NA	11.29564	NA	NA	NA	0.0379240199959573
FBgn0000121|dme-miR-14	0.233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000121|dme-miR-277	0.2208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.986778828925674
FBgn0000121|dme-miR-34	0.221	NA	NA	NA	NA	NA	NA	NA	NA	0.539632	NA	NA	NA	0.997324162526949
FBgn0000137|dme-miR-14	0.2364	NA	NA	NA	NA	NA	NA	NA	NA	1.163086	NA	NA	NA	0.000740016505657922
FBgn0000137|dme-miR-277	0.884	0.528	NA	NA	NA	-0.6456	NA	-2.05	NA	NA	NA	NA	NA	0.997970148335002
FBgn0000137|dme-miR-34	0.2408	NA	NA	NA	NA	NA	NA	-4.34	NA	5.860858	NA	NA	NA	0.972440755935771
FBgn0000139|dme-miR-14	0.2336	NA	NA	NA	NA	NA	NA	NA	NA	1.606542	NA	NA	NA	0.98868591753823
FBgn0000139|dme-miR-277	0.2203	NA	NA	NA	NA	NA	NA	NA	NA	2.025614	NA	NA	NA	NA
FBgn0000139|dme-miR-34	0.2199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000140|dme-miR-14	0.2366	NA	NA	NA	NA	NA	NA	NA	NA	6.165587	NA	NA	NA	0.981998993400764
FBgn0000140|dme-miR-277	0.2345	NA	NA	NA	NA	NA	NA	NA	NA	6.151723	NA	NA	NA	NA
FBgn0000140|dme-miR-34	0.2219	NA	NA	NA	NA	NA	NA	NA	NA	12.828693	NA	NA	NA	NA
FBgn0000142|dme-miR-14	0.2375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000142|dme-miR-277	0.2405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000142|dme-miR-34	0.2398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000146|dme-miR-14	0.2193	NA	NA	NA	NA	NA	NA	NA	NA	1.406666	NA	NA	NA	NA
FBgn0000146|dme-miR-277	0.2166	NA	NA	NA	NA	-0.1123	NA	NA	NA	NA	NA	NA	NA	0.993181827825811
FBgn0000146|dme-miR-34	0.218	NA	NA	NA	NA	NA	NA	NA	NA	5.404626	NA	NA	NA	NA
FBgn0000147|dme-miR-14	0.2302	0.487	NA	NA	NA	NA	NA	NA	NA	1.120286	NA	0.86	NA	NA
FBgn0000147|dme-miR-277	0.2192	0.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000147|dme-miR-34	0.2205	NA	NA	NA	NA	NA	NA	NA	NA	3.962494	NA	NA	NA	NA
FBgn0000150|dme-miR-14	0.2332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000150|dme-miR-277	0.2179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000150|dme-miR-34	0.218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000152|dme-miR-14	0.2427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.577320192265133
FBgn0000152|dme-miR-277	0.2415	NA	NA	NA	NA	NA	NA	1.64	NA	NA	NA	NA	NA	0.604067208560149
FBgn0000152|dme-miR-34	0.2414	NA	NA	NA	NA	NA	NA	-13.68	NA	6.18032	NA	NA	NA	0.613420969672554
FBgn0000153|dme-miR-14	0.2198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000153|dme-miR-277	0.23	0.458	NA	NA	NA	NA	NA	NA	NA	0.918421	NA	NA	NA	NA
FBgn0000153|dme-miR-34	0.2198	NA	NA	NA	NA	NA	NA	NA	NA	0.633705	NA	NA	NA	NA
FBgn0000157|dme-miR-14	0.225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000886445360421974
FBgn0000157|dme-miR-277	0.2399	NA	NA	NA	NA	NA	NA	4.14	NA	NA	NA	NA	NA	0.930313991816791
FBgn0000157|dme-miR-34	0.2393	NA	NA	NA	NA	NA	NA	NA	NA	2.664132	NA	NA	NA	0.997544569680875
FBgn0000158|dme-miR-14	0.2365	NA	NA	NA	NA	NA	NA	NA	NA	0.866241	NA	NA	NA	NA
FBgn0000158|dme-miR-277	0.8827	0.615	0.556	NA	NA	-1.115	NA	0.3	NA	NA	NA	NA	NA	0.999919016945732
FBgn0000158|dme-miR-34	0.2235	NA	NA	NA	NA	NA	NA	NA	NA	6.215678	NA	NA	NA	NA
FBgn0000163|dme-miR-14	0.2391	NA	NA	NA	NA	NA	NA	2.17	NA	7.389382	NA	NA	NA	0.00551597632074384
FBgn0000163|dme-miR-277	0.2374	NA	NA	NA	NA	NA	NA	NA	NA	12.917958	NA	NA	NA	0.055718785052419
FBgn0000163|dme-miR-34	0.2414	NA	NA	NA	NA	NA	NA	NA	NA	9.050067	NA	NA	NA	0.298705220442735
FBgn0000165|dme-miR-14	0.2204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000165|dme-miR-277	0.2325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000165|dme-miR-34	0.2205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000166|dme-miR-14	0.2382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000166|dme-miR-277	0.2398	0.469	NA	NA	NA	NA	NA	2.05	NA	30.94731	NA	NA	NA	0.991804277597356
FBgn0000166|dme-miR-34	0.2248	NA	NA	NA	NA	NA	NA	NA	NA	27.269487	NA	NA	NA	0.0356001989751526
FBgn0000171|dme-miR-14	0.2359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.473217076452739
FBgn0000171|dme-miR-277	0.2205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0000171|dme-miR-34	0.2337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.812618516658468
FBgn0000173|dme-miR-14	0.2367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0457099692049775
FBgn0000173|dme-miR-277	0.2379	NA	NA	NA	NA	NA	NA	NA	NA	16.112247	NA	NA	NA	0.0251190766184661
FBgn0000173|dme-miR-34	0.2256	NA	NA	NA	NA	NA	NA	NA	NA	24.709918	NA	NA	NA	0.552369665403558
FBgn0000179|dme-miR-14	0.2378	NA	NA	NA	NA	NA	NA	NA	NA	1.949877	NA	NA	NA	0.982146700348912
FBgn0000179|dme-miR-277	0.2415	0.455	NA	NA	NA	-0.0545	NA	1.14	NA	10.642523	NA	NA	NA	0.0225070944930378
FBgn0000179|dme-miR-34	0.2419	NA	NA	NA	NA	NA	NA	-8.03	NA	12.448332	NA	NA	NA	0.985083253733951
FBgn0000180|dme-miR-14	0.9233	0.837	0.255	9.36	NA	-0.0394	NA	-0.017	NA	NA	NA	NA	NA	0.982146700348912
FBgn0000180|dme-miR-277	0.8839	0.728	0.291	NA	NA	-0.519	NA	-2.89	NA	0.826071	NA	NA	NA	0.985312379746248
FBgn0000180|dme-miR-34	0.2376	NA	NA	NA	NA	NA	NA	NA	NA	4.479826	NA	NA	NA	0.700805477959804
FBgn0000181|dme-miR-14	0.2253	NA	NA	NA	NA	NA	NA	NA	NA	2.085374	NA	NA	NA	0.507701965560387
FBgn0000181|dme-miR-277	0.2407	NA	NA	NA	NA	-0.0589	NA	-0.46	NA	NA	NA	NA	NA	0.335868456685362
FBgn0000181|dme-miR-34	0.2403	NA	NA	NA	NA	NA	NA	-6.94	NA	2.59655	NA	NA	NA	0.817389831641918
FBgn0000182|dme-miR-14	0.2369	NA	NA	NA	NA	NA	NA	NA	NA	6.583572	NA	NA	NA	0.0227038738666467
FBgn0000182|dme-miR-277	0.2346	0.545	NA	NA	NA	-0.0625	NA	2.58	NA	NA	NA	NA	NA	0.96558614444241
